id_alumno,nombre,email,promocion,fecha_comienzo,campus,vertical
1,Jafet Casals,Jafet_Casals@gmail.com,Septiembre,2023-09-18,Madrid,DS
2,Jorge Manzanares,Jorge_Manzanares@gmail.com,Septiembre,2023-09-18,Madrid,DS
3,Onofre Adadia,Onofre_Adadia@gmail.com,Septiembre,2023-09-18,Madrid,DS
4,Merche Prada,Merche_Prada@gmail.com,Septiembre,2023-09-18,Madrid,DS
5,Pilar Abella,Pilar_Abella@gmail.com,Septiembre,2023-09-18,Madrid,DS
6,Leoncio Tena,Leoncio_Tena@gmail.com,Septiembre,2023-09-18,Madrid,DS
7,Odalys Torrijos,Odalys_Torrijos@gmail.com,Septiembre,2023-09-18,Madrid,DS
8,Eduardo Caparrós,Eduardo_Caparrós@gmail.com,Septiembre,2023-09-18,Madrid,DS
9,Ignacio Goicoechea,Ignacio_Goicoechea@gmail.com,Septiembre,2023-09-18,Madrid,DS
10,Clementina Santos,Clementina_Santos@gmail.com,Septiembre,2023-09-18,Madrid,DS
11,Daniela Falcó,Daniela_Falcó@gmail.com,Septiembre,2023-09-18,Madrid,DS
12,Abraham Vélez,Abraham_Vélez@gmail.com,Septiembre,2023-09-18,Madrid,DS
13,Maximiliano Menéndez,Maximiliano_Menéndez@gmail.com,Septiembre,2023-09-18,Madrid,DS
14,Anita Heredia,Anita_Heredia@gmail.com,Septiembre,2023-09-18,Madrid,DS
15,Eli Casas,Eli_Casas@gmail.com,Septiembre,2023-09-18,Madrid,DS
16,Guillermo Borrego,Guillermo_Borrego@gmail.com,Febrero,2024-02-12,Madrid,DS
17,Sergio Aguirre,Sergio_Aguirre@gmail.com,Febrero,2024-02-12,Madrid,DS
18,Carlito Carrión,Carlito_Carrión@gmail.com,Febrero,2024-02-12,Madrid,DS
19,Haydée Figueroa,Haydée_Figueroa@gmail.com,Febrero,2024-02-12,Madrid,DS
20,Chita Mancebo,Chita_Mancebo@gmail.com,Febrero,2024-02-12,Madrid,DS
21,Joaquina Asensio,Joaquina_Asensio@gmail.com,Febrero,2024-02-12,Madrid,DS
22,Cristian Sarabia,Cristian_Sarabia@gmail.com,Febrero,2024-02-12,Madrid,DS
23,Isabel Ibáñez,Isabel_Ibáñez@gmail.com,Febrero,2024-02-12,Madrid,DS
24,Desiderio Jordá,Desiderio_Jordá@gmail.com,Febrero,2024-02-12,Madrid,DS
25,Rosalina Llanos,Rosalina_Llanos@gmail.com,Febrero,2024-02-12,Madrid,DS
26,Amor Larrañaga,Amor_Larrañaga@gmail.com,Septiembre,2023-09-18,Madrid,FS
27,Teodoro Alberola,Teodoro_Alberola@gmail.com,Septiembre,2023-09-18,Madrid,FS
28,Cleto Plana,Cleto_Plana@gmail.com,Septiembre,2023-09-18,Madrid,FS
29,Aitana Sebastián,Aitana_Sebastián@gmail.com,Septiembre,2023-09-18,Madrid,FS
30,Dolores Valbuena,Dolores_Valbuena@gmail.com,Septiembre,2023-09-18,Madrid,FS
31,Julie Ferrer,Julie_Ferrer@gmail.com,Septiembre,2023-09-18,Madrid,FS
32,Mireia Cabañas,Mireia_Cabañas@gmail.com,Septiembre,2023-09-18,Madrid,FS
33,Flavia Amador,Flavia_Amador@gmail.com,Septiembre,2023-09-18,Madrid,FS
34,Albino Macias,Albino_Macias@gmail.com,Septiembre,2023-09-18,Madrid,FS
35,Ester Sánchez,Ester_Sánchez@gmail.com,Septiembre,2023-09-18,Madrid,FS
36,Luis Miguel Galvez,Luis_Miguel_Galvez@gmail.com,Septiembre,2023-09-18,Madrid,FS
37,Loida Arellano,Loida_Arellano@gmail.com,Septiembre,2023-09-18,Madrid,FS
38,Heraclio Duque,Heraclio_Duque@gmail.com,Septiembre,2023-09-18,Madrid,FS
39,Herberto Figueras,Herberto_Figueras@gmail.com,Septiembre,2023-09-18,Madrid,FS
40,Teresa Laguna,Teresa_Laguna@gmail.com,Febrero,2024-02-12,Valencia,FS
41,Estrella Murillo,Estrella_Murillo@gmail.com,Febrero,2024-02-12,Valencia,FS
42,Ernesto Uriarte,Ernesto_Uriarte@gmail.com,Febrero,2024-02-12,Valencia,FS
43,Daniela Guitart,Daniela_Guitart@gmail.com,Febrero,2024-02-12,Valencia,FS
44,Timoteo Trillo,Timoteo_Trillo@gmail.com,Febrero,2024-02-12,Valencia,FS
45,Ricarda Tovar,Ricarda_Tovar@gmail.com,Febrero,2024-02-12,Valencia,FS
46,Alejandra Vilaplana,Alejandra_Vilaplana@gmail.com,Febrero,2024-02-12,Valencia,FS
47,Daniel Rosselló,Daniel_Rosselló@gmail.com,Febrero,2024-02-12,Valencia,FS
48,Rita Olivares,Rita_Olivares@gmail.com,Febrero,2024-02-12,Valencia,FS
49,Cleto Montes,Cleto_Montes@gmail.com,Febrero,2024-02-12,Valencia,FS
50,Marino Castilla,Marino_Castilla@gmail.com,Febrero,2024-02-12,Valencia,FS
51,Estefanía Valcárcel,Estefanía_Valcárcel@gmail.com,Febrero,2024-02-12,Valencia,FS
52,Noemí Vilanova,Noemí_Vilanova@gmail.com,Febrero,2024-02-12,Valencia,FS
