id;nombre;email;bootcamp_id;fecha_comienzo;aula
1;Jafet Casals;Jafet_Casals@gmail.com;1;18/9/2023;1
2;Jorge Manzanares;Jorge_Manzanares@gmail.com;1;18/9/2023;1
3;Onofre Adadia;Onofre_Adadia@gmail.com;1;18/9/2023;1
4;Merche Prada;Merche_Prada@gmail.com;1;18/9/2023;1
5;Pilar Abella;Pilar_Abella@gmail.com;1;18/9/2023;1
6;Leoncio Tena;Leoncio_Tena@gmail.com;1;18/9/2023;1
7;Odalys Torrijos;Odalys_Torrijos@gmail.com;1;18/9/2023;1
8;Eduardo Caparrós;Eduardo_Caparrós@gmail.com;1;18/9/2023;1
9;Ignacio Goicoechea;Ignacio_Goicoechea@gmail.com;1;18/9/2023;1
10;Clementina Santos;Clementina_Santos@gmail.com;1;18/9/2023;1
11;Daniela Falcó;Daniela_Falcó@gmail.com;1;18/9/2023;1
12;Abraham Vélez;Abraham_Vélez@gmail.com;1;18/9/2023;1
13;Maximiliano Menéndez;Maximiliano_Menéndez@gmail.com;1;18/9/2023;1
14;Anita Heredia;Anita_Heredia@gmail.com;1;18/9/2023;1
15;Eli Casas;Eli_Casas@gmail.com;1;18/9/2023;1
16;Guillermo Borrego;Guillermo_Borrego@gmail.com;2;12/2/2024;2
17;Sergio Aguirre;Sergio_Aguirre@gmail.com;2;12/2/2024;2
18;Carlito Carrión;Carlito_Carrión@gmail.com;2;12/2/2024;2
19;Haydée Figueroa;Haydée_Figueroa@gmail.com;2;12/2/2024;2
20;Chita Mancebo;Chita_Mancebo@gmail.com;2;12/2/2024;2
21;Joaquina Asensio;Joaquina_Asensio@gmail.com;2;12/2/2024;2
22;Cristian Sarabia;Cristian_Sarabia@gmail.com;2;12/2/2024;2
23;Isabel Ibáñez;Isabel_Ibáñez@gmail.com;2;12/2/2024;2
24;Desiderio Jordá;Desiderio_Jordá@gmail.com;2;12/2/2024;2
25;Rosalina Llanos;Rosalina_Llanos@gmail.com;2;12/2/2024;2
26;Amor Larrañaga;Amor_Larrañaga@gmail.com;5;18/9/2023;3
27;Teodoro Alberola;Teodoro_Alberola@gmail.com;5;18/9/2023;3
28;Cleto Plana;Cleto_Plana@gmail.com;5;18/9/2023;3
29;Aitana Sebastián;Aitana_Sebastián@gmail.com;5;18/9/2023;3
30;Dolores Valbuena;Dolores_Valbuena@gmail.com;5;18/9/2023;3
31;Julie Ferrer;Julie_Ferrer@gmail.com;5;18/9/2023;3
32;Mireia Cabañas;Mireia_Cabañas@gmail.com;5;18/9/2023;3
33;Flavia Amador;Flavia_Amador@gmail.com;5;18/9/2023;3
34;Albino Macias;Albino_Macias@gmail.com;5;18/9/2023;3
35;Ester Sánchez;Ester_Sánchez@gmail.com;5;18/9/2023;3
36;Luis Miguel Galvez;Luis_Miguel_Galvez@gmail.com;5;18/9/2023;3
37;Loida Arellano;Loida_Arellano@gmail.com;5;18/9/2023;3
38;Heraclio Duque;Heraclio_Duque@gmail.com;5;18/9/2023;3
39;Herberto Figueras;Herberto_Figueras@gmail.com;5;18/9/2023;3
40;Teresa Laguna;Teresa_Laguna@gmail.com;8;12/2/2024;4
41;Estrella Murillo;Estrella_Murillo@gmail.com;8;12/2/2024;4
42;Ernesto Uriarte;Ernesto_Uriarte@gmail.com;8;12/2/2024;4
43;Daniela Guitart;Daniela_Guitart@gmail.com;8;12/2/2024;4
44;Timoteo Trillo;Timoteo_Trillo@gmail.com;8;12/2/2024;4
45;Ricarda Tovar;Ricarda_Tovar@gmail.com;8;12/2/2024;4
46;Alejandra Vilaplana;Alejandra_Vilaplana@gmail.com;8;12/2/2024;4
47;Daniel Rosselló;Daniel_Rosselló@gmail.com;8;12/2/2024;4
48;Rita Olivares;Rita_Olivares@gmail.com;8;12/2/2024;4
49;Cleto Montes;Cleto_Montes@gmail.com;8;12/2/2024;4
50;Marino Castilla;Marino_Castilla@gmail.com;8;12/2/2024;4
51;Estefanía Valcárcel;Estefanía_Valcárcel@gmail.com;8;12/2/2024;4
52;Noemí Vilanova;Noemí_Vilanova@gmail.com;8;12/2/2024;4
